10teams.mps  924
22433.mps  21477
23588.mps  8090
2club200v15p5scn.mps  -70
30_70_45_05_100.mps  9
30_70_45_095_100.mps  3
30_70_45_095_98.mps  12
30n20b8.mps  302
50v-10.mps  3311.179984
8div-n59k10.mps  Infeasible
8div-n59k11.mps  Infeasible
8div-n59k12.mps  Infeasible
a1c1s1.mps  11503.44413
a2864-99blp.mps  -257
a2c1s1.mps  10889.13763
ab51-40-100.mps  -10420305975
ab67-40-100.mps  -11186253442
ab69-40-100.mps  -11186281442
ab71-20-100.mps  -10420305975
ab72-40-100.mps  -11186620442
academictimetablebig.mps  427
academictimetablesmall.mps  0
acc-tight2.mps  0
acc-tight4.mps  0
acc-tight5.mps  0
adult-max5features.mps  5642.121939
adult-regularized.mps  7022.953543477999
aflow30a.mps  1158
aflow40b.mps  1168
air03.mps  340160
air04.mps  56137
air05.mps  26374
aligninq.mps  2713
allcolor10.mps  6
allcolor58.mps  258.0
amaze22012-03-15i.mps  0
amaze22012-06-28i.mps  0
amaze22012-07-04i.mps  0
app1-1.mps  -3
app1-2.mps  -41
app2-1.mps  19294.125
app2-2.mps  212040.3571
app3.mps  5751714.329
arki001.mps  7580813.046
assign1-10-4.mps  422
assign1-5-8.mps  212
atlanta-ip.mps  90.00987861
atm20-100.mps  2463621.577
australia-abs-cta.mps  106.0589096
b-ball.mps  -1.5
b1c1s1.mps  24544.25
b2c1s1.mps  25687.9
bab1.mps  -218764.8853
bab2.mps  -357544.3115
bab3.mps  -656214.9542
bab5.mps  -106411.8401
bab6.mps  -284248.2307
bc.mps  7
bc1.mps  3.338362548
beasleyC1.mps  85
beasleyC2.mps  144
beasleyC3.mps  754
beavma.mps  383285
berlin.mps  1044
berlin_5_8_0.mps  62
bg512142.mps  184202.75
bharat.mps  4193333.93287
biella1.mps  3065005.78
bienst1.mps  46.75
bienst2.mps  54.6
binkar10_1.mps  6742.199884
blend2.mps  7.598985
bley_xl1.mps  190
bley_xs1.mps  3925261.169999983
bley_xs1noM.mps  3873690.77
bley_xs2.mps  1051266.38
blp-ar98.mps  6205.21471
blp-ic97.mps  4025.023581
blp-ic98.mps  4491.447584
blp-ir98.mps  2342.315488
bmocbd.mps  -32041010095050
bmocbd3.mps  -372986719.737107
bmoipr2.mps  -46416168.3
bnatt400.mps  1
bnatt500.mps  Infeasible
bppc4-08.mps  53
bppc6-02.mps  116
bppc6-06.mps  208
bppc8-02.mps  507
bppc8-09.mps  472
brasil.mps  13655
brazil3.mps  24
breastcancer-regularized.mps  35.76784211
bts4-cta.mps  472243.4174959
buildingenergy.mps  33283.85324
cap6000.mps  -2451377
cbs-cta.mps  0
cdc7-4-3-2.mps  -296.0
cdma.mps  -24778479031200824
chromaticindex1024-7.mps  4
chromaticindex128-5.mps  4
chromaticindex256-8.mps  4
chromaticindex32-8.mps  4
chromaticindex512-7.mps  4
ci-s4.mps  3336.239848
circ10-3.mps  280
cmflsp40-24-10-7.mps  51664409.27
cmflsp40-36-2-10.mps  66456407.51812819
cmflsp50-24-10-4.mps  58988866.75
cmflsp50-24-8-8.mps  55789389.89
cmflsp60-36-2-6.mps  73891245.38458699
